Date,Associate,Calls,Talk Time,Hold Time,Followup Time
1/1/2015,Matt,55,583.0984184,126.6503459,98.69559012
1/2/2015,Matt,54,557.5555117,168.9039492,81.93617966
1/3/2015,Matt,55,533.1444671,160.1630479,62.47737966
1/4/2015,Matt,54,521.5216436,149.8858094,80.45582993
1/5/2015,Matt,53,462.2678815,142.7706618,79.90661416
1/6/2015,Matt,60,548.0178704,140.9926405,90.67784961
1/7/2015,Matt,55,591.6813939,162.8825903,100.8085021
1/8/2015,Matt,61,573.7747136,158.9192738,87.76561549
1/9/2015,Matt,56,639.8238122,142.7067541,78.52597917
1/10/2015,Matt,56,555.811686,117.6392159,46.40302599
1/11/2015,Matt,50,512.3067706,150.7129952,79.68484961
1/12/2015,Matt,60,499.1619918,144.1404289,85.31559839
1/13/2015,Matt,54,457.4814145,155.0544822,78.9594474
1/14/2015,Matt,52,556.0986306,168.7268216,65.61115145
1/15/2015,Matt,46,533.7619538,145.7408829,71.84972489
1/16/2015,Matt,54,597.3458515,161.4304565,71.16299395
1/17/2015,Matt,52,434.4624343,151.2060953,63.81184475
1/18/2015,Matt,59,570.471952,172.3713747,80.72258376
1/19/2015,Matt,53,542.1808723,137.4185786,93.23778689
1/20/2015,Matt,53,517.7561737,150.9443724,88.38523464
1/21/2015,Matt,54,580.6317921,153.8541002,73.84576782
1/22/2015,Matt,53,604.090114,136.8579391,60.86000573
1/23/2015,Matt,57,571.879833,148.1596806,87.62063224
1/24/2015,Matt,56,606.2126343,167.4597664,67.11333768
1/25/2015,Matt,54,672.1223042,155.3029635,68.80731517
1/26/2015,Matt,57,585.4469207,164.1839981,91.73584426
1/27/2015,Matt,49,542.1415818,136.8396542,87.85409957
1/28/2015,Matt,59,571.4738273,149.0358668,68.29973447
1/29/2015,Matt,52,609.2178905,147.6775665,89.05934798
1/30/2015,Matt,53,641.6844312,167.5605238,87.59552021
1/31/2015,Matt,58,580.7952422,144.1763768,107.7133621
2/1/2015,Matt,47,509.3377486,131.7234648,76.27416112
2/2/2015,Matt,59,559.7362135,151.0649935,85.46005793
2/3/2015,Matt,61,525.265691,160.9521012,58.25893443
2/4/2015,Matt,53,496.5645172,173.1328894,84.54194396
2/5/2015,Matt,57,550.8373198,123.9300239,72.9227814
2/6/2015,Matt,49,510.7625256,158.133981,72.1024817
2/7/2015,Matt,56,481.2720802,158.1189667,97.969233
2/8/2015,Matt,49,453.2222682,140.2355798,100.7770886
2/9/2015,Matt,53,519.4085335,138.6164862,68.76822885
2/10/2015,Matt,56,584.4731636,154.7498095,90.30766631
2/11/2015,Matt,59,517.6261941,166.7450589,80.42126901
2/12/2015,Matt,57,453.5967276,173.5018909,77.51280447
2/13/2015,Matt,57,530.5795389,136.6429668,65.61365262
2/14/2015,Matt,58,530.2347301,163.8075851,92.56244619
2/15/2015,Matt,54,530.817542,167.4182701,96.86889301
2/16/2015,Matt,55,536.5978462,141.6386958,82.10945116
2/17/2015,Matt,50,481.3333923,183.6021047,64.42766047
2/18/2015,Matt,54,448.1343194,148.9536106,72.04964482
2/19/2015,Matt,52,560.7975747,170.0393445,53.78175715
2/20/2015,Matt,55,595.7440194,162.340579,112.1454896
2/21/2015,Matt,52,462.3577194,154.848666,84.45022354
2/22/2015,Matt,53,524.6069749,172.630017,67.94345645
2/23/2015,Matt,52,441.9236962,176.6764843,62.23207772
2/24/2015,Matt,59,476.9630828,119.5026747,65.75141228
2/25/2015,Matt,51,620.0844517,149.3831603,95.0319532
2/26/2015,Matt,54,544.2457248,130.0571708,83.00171439
2/27/2015,Matt,52,523.9704998,148.519477,82.71369767
2/28/2015,Matt,57,436.4295088,166.063963,82.87132647
3/1/2015,Matt,53,599.4502632,165.0375369,83.18555713
3/2/2015,Matt,47,544.2783015,160.6338211,77.31753098
3/3/2015,Matt,52,612.1644066,140.7170571,91.46550996
3/4/2015,Matt,53,547.5007367,167.273261,82.29546537
3/5/2015,Matt,57,536.8508481,159.5610868,58.52421165
3/6/2015,Matt,57,608.7224157,135.8959133,69.13076664
3/7/2015,Matt,54,546.3938192,174.5280244,84.47122837
3/8/2015,Matt,54,588.4518179,174.2505557,83.57081285
3/9/2015,Matt,56,508.7084723,153.7410909,92.30016217
3/10/2015,Matt,53,481.5995093,129.3364239,71.78355111
3/11/2015,Matt,59,506.3098543,160.5422797,77.15041768
3/12/2015,Matt,54,550.5892858,143.3362345,87.16652935
3/13/2015,Matt,55,529.191067,143.9015536,108.1271769
3/14/2015,Matt,48,524.5396264,173.0701591,72.45643821
3/15/2015,Matt,50,462.007359,134.0521855,92.79781168
3/16/2015,Matt,56,521.6134015,168.1984562,88.35212792
3/17/2015,Matt,56,591.3597388,129.5374573,93.0249869
3/18/2015,Matt,47,497.138133,147.150823,82.48554308
3/19/2015,Matt,56,506.9509292,174.0636724,89.64639888
3/20/2015,Matt,50,538.0027731,164.7755622,74.4294176
3/21/2015,Matt,51,490.0740233,158.2836627,82.46057711
3/22/2015,Matt,59,495.7757326,131.5585182,61.78128156
3/23/2015,Matt,53,553.8743921,142.7818208,90.1780418
3/24/2015,Matt,52,604.5496253,137.7182347,104.4763598
3/25/2015,Matt,57,548.6842942,165.219236,72.04896255
3/26/2015,Matt,56,620.7912746,121.9399946,86.68999739
3/27/2015,Matt,58,577.802663,113.4569053,94.82600673
3/28/2015,Matt,60,540.3206339,149.3738756,86.88136233
3/29/2015,Matt,49,555.6940282,135.5475358,73.38322612
3/30/2015,Matt,49,578.0867454,149.3128677,91.45132189
3/31/2015,Matt,48,604.0384269,158.0376952,81.45778961
4/1/2015,Matt,57,521.1402088,136.8001652,84.57530795
4/2/2015,Matt,56,522.3458361,145.4026099,65.85625892
4/3/2015,Matt,59,427.7107502,164.4339234,76.2079559
4/4/2015,Matt,50,564.2267349,145.7274778,80.32510856
